Round,RequestRate,Timestamp,ActualRPS,TotalRequests,SuccessCount,ErrorCount,SuccessRate,ErrorRate,AvgResponseTime,MinResponseTime,MaxResponseTime,MedianResponseTime,P50ResponseTime,P90ResponseTime,P95ResponseTime,P99ResponseTime,ThroughputRPS,TestDurationSeconds,StatusCode200,StatusCode400,StatusCode500,OtherStatusCodes
1,1,2025-06-29 13:03:47,1.00,60,60,0,1.0000,0.0000,18.98,7,35,19,19,22,26,35,1.00,60.22,60,0,0,0
2,2,2025-06-29 13:04:53,1.99,120,120,0,1.0000,0.0000,17.52,7,27,18,18,19,20,21,1.99,60.40,120,0,0,0
3,5,2025-06-29 13:05:58,4.93,296,296,0,1.0000,0.0000,17.10,6,32,17,17,19,19,21,4.93,60.05,296,0,0,0
4,10,2025-06-29 13:07:03,9.71,583,583,0,1.0000,0.0000,15.62,5,20,16,16,18,18,19,9.71,60.02,583,0,0,0
5,20,2025-06-29 13:08:08,19.41,1166,1166,0,1.0000,0.0000,16.38,6,30,17,17,19,19,22,19.41,60.07,1166,0,0,0
6,40,2025-06-29 13:09:13,38.57,2316,2316,0,1.0000,0.0000,83.41,4,7568,18,18,28,31,1496,38.57,60.05,2316,0,0,0
7,60,2025-06-29 13:10:26,42.45,2890,2890,0,1.0000,0.0000,155.82,5,11246,18,18,30,36,7818,42.45,68.08,2890,0,0,0
8,80,2025-06-29 13:11:31,48.28,2900,2900,0,1.0000,0.0000,90.76,6,10546,18,18,29,32,46,48.28,60.07,2900,0,0,0
9,100,2025-06-29 13:12:36,48.52,2915,2915,0,1.0000,0.0000,78.66,5,5762,18,18,31,37,2029,48.52,60.07,2915,0,0,0
10,200,2025-06-29 13:13:38,210.99,12000,11904,96,0.9920,0.0080,472.81,6,30010,69,69,107,697,9223,210.99,56.88,11904,0,5,91
11,400,2025-06-29 13:14:10,883.13,24000,24000,0,1.0000,0.0000,7.67,4,31,6,6,17,17,20,883.13,27.18,24000,0,0,0
12,600,2025-06-29 13:15:40,426.94,36000,35877,123,0.9966,0.0034,198.03,4,29401,43,43,89,99,4611,426.94,84.32,35877,0,123,0
13,800,2025-06-29 13:17:16,525.38,48000,47935,65,0.9986,0.0014,145.87,5,30003,37,37,82,90,1033,525.38,91.36,47935,0,48,17
14,1000,2025-06-29 13:18:21,854.83,51300,51300,0,1.0000,0.0000,10.93,4,46,7,7,18,19,29,854.83,60.01,51300,0,0,0
15,2000,2025-06-29 13:21:05,755.12,120000,119355,645,0.9946,0.0054,528.72,16,30023,250,250,298,333,7723,755.12,158.91,119355,0,577,68
16,4000,2025-06-29 13:23:49,1507.80,240000,240000,0,1.0000,0.0000,330.75,10,3030,301,301,351,374,2157,1507.80,159.17,240000,0,0,0
17,6000,2025-06-29 13:28:14,1384.53,360000,359402,598,0.9983,0.0017,360.38,5,15926,288,288,330,360,1938,1384.53,260.02,359402,0,598,0
18,8000,2025-06-29 13:34:13,1358.53,480000,479684,316,0.9993,0.0007,367.34,7,15987,278,278,317,344,3082,1358.53,353.32,479684,0,316,0
19,10000,2025-06-29 13:39:42,1512.83,490550,490031,519,0.9989,0.0011,329.80,10,15588,286,286,322,348,1716,1512.83,324.26,490031,0,519,0
20,20000,2025-06-29 13:55:07,1341.49,1200000,1197963,2037,0.9983,0.0017,744.67,7,30142,568,568,649,689,7508,1341.49,894.53,1197963,0,1087,950
21,40000,2025-06-29 14:24:02,1409.08,2400000,2394079,5921,0.9975,0.0025,708.98,6,30022,571,571,648,696,5967,1409.08,1703.24,2394079,0,4977,944
